Status,Life_expectancy ,Adult_Mortality,Alcohol,Total_expenditure,Hepatitis_B, BMI ,Income_composition_of_resources,Schooling,Population
Developing,72.6,192,12.15,5.21,,54.4,0,12,
Developing,76.9,69,,,98,63.6,0.823,14.5,
Developing,76.8,7,1.57,4.98,98,62.9,0.82,14.5,
Developing,76.7,7,1.65,4.69,99,62.2,0.815,14.5,
Developing,76.5,71,1.7,4.37,99,61.5,0.812,14.5,
Developing,76.1,76,1.66,3.4,99,6.8,0.812,14.4,
Developing,76.1,73,1.93,3.64,99,6.1,0.81,14.4,
Developing,76,74,1.95,3.79,98,59.3,0.814,14.4,
Developing,75.8,76,2,3.17,97,58.5,0.815,14.4,
Developing,75.6,77,2,3.8,97,57.6,0.813,14.4,
Developing,75.5,79,2.1,3.8,98,56.8,0.81,14.2,
Developing,75.3,81,2.05,3.16,98,56.1,0.806,14,
Developing,75.2,83,2.16,3.37,98,55.6,0.803,13.9,
Developing,75,85,2.16,3.74,98,55.2,0.798,13.7,
Developing,74.9,87,1.99,3.89,98,55,0.796,13.5,
Developing,74.7,9,1.95,3.8,99,54.8,0.794,13.3,
Developing,74.5,92,2.15,3.51,97,54.5,0.786,13.2,
Developing,71.8,129,,,97,18.3,0.575,10.2,1612886
Developing,71.4,132,0.01,2.82,97,17.7,0.57,10,15945279
Developing,71,135,0.01,2.88,96,17,0.565,10,157571292
Developing,77,137,0.01,3.8,94,16.4,0.557,9.9,15572753
Developing,73,14,0.01,3.16,96,15.8,0.545,9.4,153911916
Developing,69.9,142,0.01,3.6,94,15.2,0.535,8.9,15214912
Developing,69.5,144,0.01,2.91,97,14.6,0.523,8.4,1545478
Developing,69.1,147,0.01,2.85,96,14,0.52,8.6,14885814
Developing,68.6,151,0.01,2.8,95,13.5,0.513,8.6,147139191
Developing,68.2,152,0.01,2.8,86,13,0.506,8.4,1453684
Developing,67.8,155,0.01,2.68,45,12.5,0.499,8.2,14343111
Developing,67.3,158,0.01,2.62,11,12,0.491,8.1,14137489
Developing,66.8,161,0.01,2.51,5,11.6,0.484,7.9,139191
Developing,66.3,164,0.01,2.59,,11.2,0.476,7.7,1366667
Developing,65.8,168,0.01,2.47,,1.8,0.468,7.5,1341716
Developing,65.3,173,0.01,2.33,,1.4,0.459,7.3,131581243
Developing,75.5,98,,,97,54.5,0.794,15.3,
Developing,75.4,1,8.82,7.47,94,53.7,0.793,15.3,
Developing,75.2,11,8.74,7.57,91,53,0.792,15.3,
Developing,75.1,12,8.61,7.43,87,52.2,0.785,15.3,
Developing,74.9,14,8.51,6.67,91,51.4,0.78,15.5,
Developing,74.7,16,8.41,6.17,86,5.7,0.781,15.8,
Developing,74.6,19,8.46,6.21,93,49.9,0.779,15.5,
Developing,74.4,111,8.95,6.1,85,49.2,0.775,15.3,
Developing,74.2,113,8.47,5.64,93,48.4,0.771,15,
Developing,74.1,115,8.39,5.27,84,47.7,0.766,14.8,
Developing,73.9,117,8.01,5.38,92,46.9,0.761,14.6,
Developing,73.8,119,7.68,5.71,93,46.2,0.757,14.4,
Developing,73.7,121,7.65,5.82,91,45.4,0.753,14.2,
Developing,73.5,123,7.59,5.76,66,44.6,0.749,14,
Developing,73.4,125,7.38,5.47,18,43.8,0.75,14,
Developing,73.3,127,7.43,5.16,,43,0.741,14,
Developing,72.3,196,,,99,62.3,0.798,15.6,9489616
Developing,72,199,13.94,5.69,97,61.7,0.796,15.7,9474511
Developing,71.7,23,14.66,6.7,98,61.1,0.796,15.7,9465997
Developing,71.9,194,16.35,5.1,97,6.5,0.793,15.6,9464495
Developing,72,232,17.31,4.92,98,59.9,0.787,15.5,9473172
Developing,73,222,14.44,5.55,96,59.3,0.78,15.5,949583
Developing,70,226,14.09,6.9,98,58.7,0.771,15.4,956765
Developing,70,224,14.67,5.95,98,58.2,0.755,15.1,9527985
Developing,69.8,226,14.22,6.44,91,57.7,0.739,14.9,956953
Developing,68.9,243,12.6,6.34,98,57.2,0.723,14.6,964924
Developing,68.1,252,11.01,6.89,99,56.7,0.713,14.4,9663915
Developing,68.2,247,12.05,6.59,99,56.2,0.703,14.1,973146
Developing,67.7,253,11.17,6.59,56,55.8,0.695,13.9,9796749
Developing,67.2,262,12.23,6.47,99,55.3,0.687,13.6,9865548
Developing,67.7,254,10.74,6.62,93,54.9,0.681,13.3,9928549
Developing,68,247,12.98,6.13,7,54.4,0.675,13.1,997961
Developed,81.1,74,,,98,63.7,0.895,16.6,11274196
Developed,89,76,12.6,1.59,98,63.4,0.89,16.3,112957
Developed,87,77,11.77,1.57,98,63,0.889,16.3,11182817
Developed,83,78,10.08,1.54,98,62.6,0.886,16.2,11128246
Developed,83,8,10.11,1.42,97,62.3,0.884,16.1,1147744
Developed,80,81,10.22,1.17,97,61.9,0.878,15.9,1895586
Developed,79.8,85,10.05,1.39,97,61.6,0.876,15.8,1796493
Developed,79.5,87,10.47,9.6,98,61.3,0.874,15.8,179973
Developed,79.5,86,10.25,9.25,94,6.9,0.871,15.8,16257
Developed,79.4,85,10.98,9.17,94,6.6,0.865,15.7,1547958
Developed,78.9,89,12.27,9.24,77,6.2,0.861,15.7,1478617
Developed,78.8,91,12.05,9.32,64,59.8,0.88,18.8,1421137
Developed,78.3,95,11.28,9.3,64,59.4,0.878,18.6,1376133
Developed,78,99,11.29,8.46,6,59,0.875,18.8,1332785
Developed,78,1,11.01,8.29,6,58.5,0.873,18.2,128657
Developed,77.6,11,11.21,8.12,6,58.1,0.869,18,125125
Developing,71,175,,,94,5.9,0.706,12.8,359288
Developing,70,177,6.58,5.79,95,5.1,0.705,12.8,351694
Developing,69.8,18,6.56,5.79,95,49.3,0.706,12.9,344181
Developing,69.4,189,6.66,5.45,98,48.5,0.702,12.5,33671
Developing,69.4,188,6.64,5.61,95,47.8,0.7,12.4,329192
Developing,69.5,186,6.76,5.85,96,47,0.7,12.4,32168
Developing,69.5,184,6.85,5.81,97,46.3,0.7,12.7,313929
Developing,69.6,181,7.22,5.9,94,45.7,0.699,12.8,36165
Developing,69.6,181,7.24,4.76,96,45,0.7,12.8,29847
Developing,69.4,184,6.48,4.4,98,44.4,0.692,12.3,29747
Developing,69,191,6.25,4.45,96,43.8,0.695,12.8,283277
Developing,68.7,197,6.2,4.39,97,43.2,0.691,12.5,27689
Developing,68.4,21,5.67,4.53,96,42.6,0.684,12.2,26913
Developing,68.5,199,4.99,4.38,97,42,0.678,11.9,26226
Developing,68.2,21,4.9,4.5,96,41.4,0.677,11.8,254984
Developing,68.3,196,4.79,3.98,76,4.8,0.668,11.7,247315
Developing,60,249,,,82,25.7,0.481,10.7,1575952
Developing,59.7,252,0.01,4.59,78,25.2,0.475,10.7,1286712
Developing,59.5,251,0.01,4.59,77,24.6,0.466,10.3,14451
Developing,59.3,251,0.01,4.86,8,24.1,0.458,10,972916
Developing,59.1,251,1.4,5.37,75,23.5,0.454,9.8,94682
Developing,58.7,254,1.33,4.95,76,23,0.451,9.5,9199259
Developing,58.4,259,1.16,4.46,79,22.5,0.448,9.3,894476
Developing,57.6,278,1.28,4.2,75,22,0.444,9.1,8696916
Developing,57.1,283,1.12,4.55,82,21.5,0.438,8.9,8454791
Developing,56.8,284,1.19,4.75,74,21,0.434,8.7,8216896
Developing,56.5,285,1.13,4.73,7,2.5,0.43,8.5,7982225
Developing,56.1,285,1.15,4.56,75,2.1,0.423,8.1,7754
Developing,55.8,285,1.35,4.63,73,19.7,0.416,7.7,752555
Developing,55.6,283,1.23,4.27,15,19.2,0.407,7.3,7295394
Developing,55.5,281,1.29,4.69,,18.8,0.395,6.6,776733
Developing,55.4,279,1.34,4.34,,18.4,0.389,6.4,6865951
Developing,69.8,211,,,99,24.5,0.604,12.5,787386
Developing,69.4,216,0.01,3.57,99,23.6,0.596,12.5,776448
Developing,69.1,219,0.01,3.83,97,22.7,0.589,12.6,764961
Developing,68.7,223,0.01,3.7,97,21.9,0.581,12.3,752967
Developing,68.3,225,0.23,4.73,95,21.1,0.572,11.9,7451
Developing,67.9,228,0.28,5.17,91,2.3,0,11.4,727641
Developing,67.4,232,0.17,6.3,93,19.5,0,10.9,714458
Developing,67,234,0.21,6.58,96,18.8,0,10.5,795
Developing,66.5,238,0.16,5.88,95,18,0,10.1,686958
Developing,65.8,245,0.29,5.27,95,17.4,0,9.6,672228
Developing,65,254,0.73,5.28,95,16.7,0,9.2,656639
Developing,64.2,263,0.96,4.41,89,16.1,0,8.8,64282
Developing,63.3,273,0.52,4.9,95,15.5,0,8.4,623434
Developing,62.5,282,0.29,7.75,83,14.9,0,8,66399
Developing,61.7,29,0.14,5.91,89,14.4,0,7.6,5896
Developing,62,312,0.17,6.91,98,13.9,0,7.3,573416
Developing,77,186,,,99,52.6,0.671,13.8,
Developing,74,189,3.62,6.33,98,51.9,0.666,13.8,
Developing,71,192,3.78,5.96,94,51.2,0.661,13.8,
Developing,69.8,194,3.89,5.56,93,5.6,0.655,13.8,
Developing,69.3,198,3.93,5.49,95,49.9,0.649,13.8,
Developing,68.7,22,3.95,5.44,91,49.3,0.643,13.8,
Developing,68,27,3.87,5.76,93,48.6,0.636,13.8,
Developing,67.4,211,3.77,5,88,48,0.632,14,
Developing,66.8,216,3.47,4.96,84,47.3,0.626,14.1,
Developing,66.2,219,3.23,5.19,83,46.7,0.625,14.3,
Developing,65.7,222,2.86,5.67,85,46,0.622,14.4,
Developing,65.1,226,2.66,5.22,84,45.4,0.62,14.6,
Developing,64.5,23,2.37,5.3,8,44.7,0.617,14.4,
Developing,63.9,234,2.26,6.53,77,44,0.61,14,
Developing,63.3,238,2.2,6.31,77,43.3,0.607,13.7,
Developing,62.6,243,2.32,5.67,77,42.6,0.6,13.3,
Developing,77.4,88,,,82,55.8,0.747,14.2,3535961
Developing,77.2,89,4.03,9.57,89,55.3,0.742,14.2,35662
Developing,77,9,4.12,9.46,91,54.7,0.735,14.2,364999
Developing,76.8,92,4.61,9.94,92,54.2,0.728,13.9,36482
Developing,76.9,92,4.64,9.71,88,53.7,0.711,13.4,3688865
Developing,76.4,94,4.54,9.58,89,53.1,0.717,13.3,372284
Developing,76.1,97,4.75,9.64,9,52.6,0.716,13.3,3746561
Developing,76,98,5.13,8.58,88,52.1,0.71,13.1,3763599
Developing,75.4,16,5.16,8.37,94,51.5,0.703,12.9,3774
Developing,75.7,1,4.82,8.28,9,51,0.697,12.7,3779468
Developing,75,12,4.56,8.5,93,5.5,0,12.5,378153
Developing,75.5,99,4.25,9.4,36,49.9,0,12.3,3781287
Developing,75.2,12,4.14,7.94,,49.4,0,12.1,3779247
Developing,75.4,11,3.84,7.1,,48.8,0,11.9,377587
Developing,74.9,113,3.85,7.16,,48.2,0,11.6,3771284
Developing,74.6,116,3.64,7.9,,47.6,0,0,376676
Developing,65.7,256,,,95,37.9,0.698,12.6,229197
Developing,65.1,268,0.01,5.41,95,37.3,0.697,12.6,2168573
Developing,64.2,286,0.01,5.84,95,36.8,0.693,12.6,212857
Developing,63.4,3,0.01,6.27,95,36.2,0.687,12.5,289315
Developing,62.2,325,5.76,5.25,95,35.7,0.678,12.4,251339
Developing,61.1,349,5.99,5.64,95,35.2,0.669,12.3,214866
Developing,59.2,393,5.01,6.39,94,34.7,0.661,12.2,1979882
Developing,57.5,427,6.56,5.55,94,34.2,0.646,12.1,1946351
Developing,56.9,436,6.21,4.71,93,33.7,0.63,12.1,1914414
Developing,54.8,491,6.45,4.93,93,33.2,0.61,11.9,1884238
Developing,51.7,566,6.37,5.62,92,32.7,0.593,11.9,1855852
Developing,48.1,652,4.9,5.56,91,32.2,0.58,11.8,182933
Developing,46.4,693,5.51,4.65,9,31.6,0.567,11.8,184339
Developing,46,699,6.41,6.47,88,31.1,0.558,11.9,1779953
Developing,46.7,679,5.48,5.73,87,3.5,0.56,11.8,1754935
Developing,47.8,647,5.37,4.64,86,29.9,0.559,11.7,172834
Developing,75,142,,,96,56.1,0.754,15.2,2596218
Developing,74.8,144,7.32,8.32,96,55.3,0.747,15.2,24213133
Developing,74.7,146,7.24,8.48,96,54.5,0.734,14.2,2248632
Developing,74.5,148,7.55,8.26,96,53.6,0.73,14.2,256983
Developing,74.1,152,7.58,8.9,98,52.8,0.724,14,198686688
Developing,73.8,154,7.52,8.27,96,52,0.716,13.8,196796269
Developing,73.6,157,7.33,8.65,99,51.1,0.714,13.8,194895996
Developing,73.4,158,7.21,8.24,96,5.3,0.704,13.3,19297929
Developing,73.3,159,7.19,8.28,99,49.4,0.7,13.5,19126637
Developing,73,161,7.1,8.36,99,48.6,0.698,13.8,18912412
Developing,72.7,163,6.97,8.27,98,47.8,0.694,13.8,186917361
Developing,72,17,6.85,7.7,96,46.9,0.695,14,184738458
Developing,71.8,172,6.95,6.94,97,46.1,0.699,14.8,182482149
Developing,71.4,176,7,7.13,92,45.3,0.692,14.6,1815121
Developing,71,179,7.13,7.19,91,44.5,0.685,14.3,1777567
Developing,75,183,7.26,7.3,94,43.7,0.677,14.1,175287587
Developing,77.7,78,,,99,41.2,0.864,14.9,
Developing,77.6,8,0.01,2.65,99,4.2,0.863,15,
Developing,77.1,84,0.01,2.61,98,39.2,0.86,14.9,
Developing,78.3,79,0.01,2.3,99,38.2,0.852,14.4,
Developing,77.4,79,0.97,2.25,93,37.2,0.846,14.1,
Developing,76.9,79,0.88,2.73,96,36.2,0.845,14.2,
Developing,76.8,88,0.25,2.85,96,35.2,0.841,14.1,
Developing,77.2,84,0.67,2.23,96,34.2,0.84,14.2,
Developing,76,1,0.85,2.32,97,33.2,0.84,14.3,
Developing,76.3,93,0.67,2.24,99,32.2,0.837,14.3,
Developing,76.2,92,0.16,2.62,99,31.2,0.834,14.1,
Developing,76.4,89,0.11,3.1,99,3.1,0.828,13.7,
Developing,76,89,0.12,3.9,99,29.1,0.823,13.4,
Developing,74.8,95,0.13,3.4,99,28,0.82,13.3,
Developing,74.7,19,0.47,3.6,99,27,0.819,13.4,
Developing,74.4,16,0.37,3.5,99,26.1,0.818,13.4,
Developed,74.5,137,,,92,65.7,0.792,15,7177991
Developed,74.3,138,12.03,8.44,95,65.1,0.787,14.8,7223938
Developed,74.1,14,12.06,7.93,95,64.5,0.781,14.4,7265115
Developed,73.9,139,10.99,7.11,95,63.9,0.778,14.3,735888
Developed,73.7,144,10.67,6.88,96,63.3,0.775,14.2,7348328
Developed,73.4,147,10.8,7.24,95,62.7,0.77,13.9,7395599
Developed,73.2,152,10.93,6.78,96,62.1,0.768,13.8,7444443
Developed,72.9,155,10.98,6.61,96,61.5,0.761,13.8,7492561
Developed,72.6,157,10.89,6.41,95,6.9,0.755,13.5,7545338
Developed,72.2,161,10.39,6.67,96,6.3,0.75,13.5,76122
Developed,72.1,16,10.48,7.8,96,59.7,0.745,13.5,7658972
Developed,72.2,157,10.96,7.9,94,59.1,0.738,13.3,771686
Developed,72,155,11.19,7.43,96,58.6,0.729,12.9,7775327
Developed,71.8,157,10.2,7.41,88,58.1,0.723,12.9,7837161
Developed,71.6,16,10.72,7.23,93,57.5,0.713,12.9,89142
Developed,71.1,163,9.69,6.7,94,57,0.709,12.9,817172
Developing,59.9,26,,,91,19.4,0.399,7.7,1811624
Developing,59.3,268,0.01,4.96,91,18.8,0.398,7.7,17585977
Developing,59,27,4.64,5.91,88,18.2,0.392,7.5,1772723
Developing,58.6,271,4.75,5.33,9,17.7,0.384,7.2,16571216
Developing,58.1,275,4.51,5.17,91,17.1,0.377,6.7,168194
Developing,57.5,279,4.55,7.17,91,16.6,0.365,6.3,1565217
Developing,56.9,283,4.55,7.41,92,16.1,0.356,5.9,1514199
Developing,56.1,288,4.5,6.77,93,15.6,0.345,5.4,14689726
Developing,55.3,293,4.58,6.63,89,15.1,0.334,4.9,1425221
Developing,54.3,32,4.73,6.58,76,14.6,0.325,4.7,13829177
Developing,53.3,313,4.88,6.87,,14.2,0,4.3,1342193
